Topic,Word,Weight
13,sale,0.00939994
13,dynamic,0.009210642
13,downs,0.008670712
13,staff,0.008414233
13,upscale,0.008310941
13,housekeep,0.007682135
13,twice,0.0075875064
13,settle,0.0074594063
13,capsule,0.00707181
13,potter,0.0069409935
13,harry,0.0068998146
13,recreational,0.00639343
13,noisy,0.0063353525
13,all,0.0062592053
14,unforgettable,0.028914016
14,marylebone,0.02838809
14,arch,0.018931454
14,baker,0.016676012
14,marble,0.012483378
14,edgware,0.011130425
14,regen,0.0103828
14,madame,0.010337497
14,parties,0.009858792
14,tussauds,0.0098431595
14,anytime,0.009333952
14,parsons,0.00813154
14,reliable,0.0076852934
14,bromley,0.0075436765
14,enfield,0.0071074963
14,oxford,0.0066482923
14,dagenham,0.0064100586
14,doublesized,0.006324601
14,communication,0.006159126
14,portable,0.0059182863
15,unique,0.015686557
15,memorable,0.0145793585
15,mayfair,0.014107309
15,culinary,0.013820276
15,nestled,0.013743467
15,discover,0.013367506
15,style,0.013148951
15,enjoyable,0.010324992
15,mere,0.008509248
15,selfcatering,0.008282813
15,nestle,0.008032475
15,dedicated,0.007476111
15,cookware,0.007280201
15,favourite,0.0068573365
15,premium,0.006763613
15,promise,0.0062071164
15,place,0.005885032
15,whip,0.0058729886
15,sophisticated,0.005190607
15,body,0.005097908
